id	sign	name_ja	fid	nday	n_ja
a-iceland	🇮🇸	アイスランド	P36	47	1010
a-ireland	🇮🇪	アイルランド	P01	63	1020
a-azerbaijan	🇦🇿	アゼルバイジャン	C07	54	1030
a-afghanistan	🇦🇫	アフガニスタン			1040
a-usa	🇺🇸	アメリカ	P11	98	1050
a-uae	🇦🇪	アラブ首長国連邦	P18	160	1060
a-algeria	🇩🇿	アルジェリア	S05	89	1070
a-argentine	🇦🇷	アルゼンチン			1080
a-albania	🇦🇱	アルバニア			1090
a-armenia	🇦🇲	アルメニア	C05	146	1100
a-angola	🇦🇴	アンゴラ	S23	108	1110
a-antigua	🇦🇬	アンティグア・バーブーダ	S14	169	1120
a-andorra	🇦🇩	アンドラ			1130
a-yemen	🇾🇪	イエメン	P03	46	1140
a-israel	🇮🇱	イスラエル	S01		1150
a-italy	🇮🇹	イタリア	S09	153	1160
a-iraq	🇮🇶	イラク			1170
a-iran	🇮🇷	イラン			1180
a-india	🇮🇳	インド	C17	125	1190
a-indonesia	🇮🇩	インドネシア	C16	45	1200
a-uganda	🇺🇬	ウガンダ	P03	177	1210
a-ukraine	🇺🇦	ウクライナ	S01	115	1220
a-uzbekistan	🇺🇿	ウズベキスタン	C18	142	1230
a-uruguay	🇺🇾	ウルグアイ	S01	66	1240
a-uk	🇬🇧	英国	S22	40	1250
a-ecuador	🇪🇨	エクアドル	S14		1260
a-egypt	🇪🇬	エジプト	C22	102	1270
a-estonia	🇪🇪	エストニア			1280
a-eswatini	🇸🇿	エスワティニ	P03	52	1290
a-ethiopia	🇪🇹	エチオピア	C23	174	1300
a-eritrea	🇪🇷	エリトリア			1310
a-elsalvador	🇸🇻	エルサルバドル			1320
a-australia	🇦🇺	オーストラリア	C15	144	1330
a-austria	🇦🇹	オーストリア	P23	41	1340
a-oman	🇴🇲	オマーン	S15	161	1350
a-netherlands	🇳🇱	オランダ	S13	39	1360
a-ghana	🇬🇭	ガーナ	P03	152	1370
a-capeverde	🇨🇻	カーボベルデ	C23	181	1380
a-guyana	🇬🇾	ガイアナ	C23	15	1390
a-kazakhstan	🇰🇿	カザフスタン	C05	120	1400
a-qatar	🇶🇦	カタール	P17	87	1410
a-canada	🇨🇦	カナダ	P19	35	1420
a-gabon	🇬🇦	ガボン	S01	105	1430
a-cameroon	🇨🇲	カメルーン	S14	157	1440
a-gambia	🇬🇲	ガンビア	C23	129	1450
a-cambodia	🇰🇭	カンボジア	S04	84	1460
a-macedonia	🇲🇰	北マケドニア	P03	19	1470
a-guinea	🇬🇳	ギニア	S14	59	1480
a-guinea_b	🇬🇼	ギニアビサウ	P03	28	1490
a-cyprus	🇨🇾	キプロス			1500
a-cuba	🇨🇺	キューバ	S14	104	1510
a-greece	🇬🇷	ギリシャ			1520
a-kiribati	🇰🇮	キリバス			1530
a-kyrgyz	🇰🇬	キルギス	P03	55	1540
a-guatemala	🇬🇹	グアテマラ	S01		1550
a-kuwait	🇰🇼	クウェート	P27	68	1560
a-cook	🇨🇰	クック諸島			1570
a-grenada	🇬🇩	グレナダ	P03	7	1580
a-croatia	🇭🇷	クロアチア	S01	162	1590
a-kenya	🇰🇪	ケニア	P03	73	1600
a-cote_d	🇨🇮	コートジボワール	C23	62	1610
a-costarica	🇨🇷	コスタリカ			1620
a-kosovo	🇽🇰	コソボ	P03	60	1630
a-comoros	🇰🇲	コモロ	P03	122	1640
a-colombia	🇨🇴	コロンビア	P21	99	1650
a-congokyo	🇨🇬	コンゴ共和国			1660
a-congomin	🇨🇩	コンゴ民主共和国	S14	79	1670
a-saudi	🇸🇦	サウジアラビア	C14	164	1680
a-samoa	🇼🇸	サモア	P03	57	1690
a-stp	🇸🇹	サントメ・プリンシペ	S14	170	1700
a-zambia	🇿🇲	ザンビア	C23	86	1710
a-sanmarino_r	🇸🇲	サンマリノ	S01	21	1720
a-s_leone	🇸🇱	シエラレオネ	C23		1730
a-djibouti	🇩🇯	ジブチ	C23	176	1740
a-jamaica	🇯🇲	ジャマイカ	C23	116	1750
a-georgia	🇬🇪	ジョージア			1760
a-syria	🇸🇾	シリア			1770
a-singapore	🇸🇬	シンガポール	S11	134	1780
a-zimbabwe	🇿🇼	ジンバブエ	C23	95	1790
a-switzerland	🇨🇭	スイス	P22	10	1800
