id	name_ja
C01	ネパール
C02	ルクセンブルク
C03	ドイツ
C04	大韓民国
C05	コモンズＦ
C06	デジタルウォレットパーク
C07	アゼルバイジャン
C08	ポップアップステージ北
C09	夜の地球 Earth at Night
C10	モナコ
C11	トルコ
C12	タイ
C13	スペイン
C14	サウジアラビア
C15	オーストラリア
C16	インドネシア
C17	インド
C18	ウズベキスタン
C19	セルビア
C20	バングラデシュ
C21	セネガル
C22	エジプト
C23	コモンズＢ
E01	関西パビ
E02	大阪パビ
E03	NTT
E04	ポップアップステージ東外
E05	三菱
E06	パナ
E07	住友
E08	電力
E09	ウーマン
E10	日本館
E11	EXPO ホール「シャインハット」
E12	ナショナルデーホール
E13	ギャラリー EAST
E14	ラウンジ＆ダイニング
E15	ポップアップステージ南
L01	ギャラリー WEST
L02	フューチャーライフエクスペリエンス
L03	TEAM EXPO パビリオン
L04	モビリティエクスペリエンス
L05	未来の都市
L06	EXPOアリーナ「Matsuri」
L07	ジュニアSDGsキャンプ
L08	万博サウナ「太陽のつぼみ」
L91	団体休憩所 西
P01	アイルランド
P02	マレーシア
P03	コモンズＡ
P04	ヨルダン
P05	ペルー
P06	（空室）
P07	空飛ぶクルマステーション
P08	モザンビーク
P09	フィリピン
P10	ポップアップステージ 東内
P11	アメリカ合衆国
P12	フランス
P13	フェスティバル・ステーション
P14	ロボット＆モビリティ
P15	ベトナム
P16	ミャクミャクハウス
P17	カタール
P18	アラブ首長国連邦
P19	カナダ
P20	ポルトガル
P21	コロンビア
P22	スイス
P23	オーストリア
P24	（団体？）休憩所
P25	団体休憩所
P26	ブラジル
P27	クウェート
P28	中華人民共和国
P29	国際機関館
P30	国際連合
P31	国際赤十字・赤新月運動
P32	当日登録
P33	休憩所
P34	バーレーン
P35	トルクメニスタン
P36	北欧館
P37	マルタ
P38	チェコ
S01	コモンズＣ
S02	チリ
S03	チュニジア
S04	カンボジア
S05	アルジェリア
S06	バルト館
S07	欧州連合
S08	ベルギー
S09	イタリア館
S10	休憩所
S11	シンガポール
S12	ブルガリア
S13	オランダ
S14	コモンズＤ
S15	オマーン
S16	ハンガリー
S17	コモンズＥ
S18	団体休憩所
S19	団体休憩所
S20	ポーランド
S21	ルーマニア
S22	英国
S23	アンゴラ
W01	リングサイドマーケットプレイス西
W02	TECH WORLD
W03	ガスパビリオン おばけワンダーランド
W04	飯田グループｘ大阪公立大学共同出展館
W05	ORA外食パビリオン『宴〜UTAGE〜』
W06	BLUE OCEAN DOME（ブルーオーシャン・ドーム）
W07	GUNDAM NEXT FUTURE PAVILION
W08	ポップアップステージ西
W09	PASONA NATUREVIRSE
W10	よしもと warai miraii館
W11	EXPO メッセ「WASSE」
X01	Better Co-Being（宮田 裕章）
X02	いのちの未来（石黒 浩）
X03	いのちの遊び場 クラゲ館（中島 さち子）
X04	null2（落合 陽一）
X05	いのち動的平衡館（福岡 伸一）
X06	いのちめぐる冒険（河森 正治）
X07	EARTH MART（小山 薫堂）
X08	Dialogue Theater －いのちのあかし－（河瀨 直美）
WC01	トイレ（夢洲の庭）
WC02	トイレ（残念石）
WC03	トイレ（空気膜）
WC04	トイレ（土の壁）
WC05	トイレ（積み木）
WC06	トイレ（水の循環）
WC07	トイレ（蜃気楼）
WC08	トイレ（多様性）
E81	東ゲートマーケットプレイス
W81	西ゲートマーケットプレイス
E82	リングサイドマーケットプレイス東
P81	ウォータープラザマーケットプレイス東
S81	ウォータープラザマーケットプレイス西
E83	JAPAN マルシェ
F81	EARTH TABLE 未来食堂
L81	風の広場マーケットプレイス（Ａ〜Ｄ）
L82	くら寿司
F82	スシロー
F83	まねき
F84	らぽっぽ
P82	月化粧ｘうなぎパイ
P87	サテライトスタジオ東（メディアブース）
S87	サテライトスタジオ西（メディアブース）
X87	ウォータープラザ休憩所（日除け付き）
E91	インフォメーション（東ゲート広場）
E92	インフォメーション（シャインハット脇）
E93	インフォメーション（関西パビリオン脇）
W91	インフォメーション（西ゲート広場）
W92	インフォメーション（吊り石下）
W93	インフォメーション（＋ころころひろば）
